,title,time,date,Hour
0,anxiety and depression which one do i hav,1:34 PM,1-Oct-21,13
1,todays achievements %F0%9F%99%82,5:35 AM,17-Oct-21,5
2,redemption,5:31 AM,17-Oct-21,5
3,i dont like who i see in the mirror,2:52 AM,17-Oct-21,2
4,when little to nothing brings you joy,2:37 AM,17-Oct-21,2
5,warning signs,2:35 AM,17-Oct-21,2
6,1 thing youre grateful for today,1:25 AM,17-Oct-21,1
7,don%E2%80%99t know how much longer i can go on,12:52 AM,17-Oct-21,0
8,do you feel guilt of your depression or not,12:32 AM,17-Oct-21,0
9,my fate to die,12:07 AM,17-Oct-21,0
10,i am not going to sleep this night l,11:45 PM,16-Oct-21,23
11,dealing with utter boredom,11:41 PM,16-Oct-21,23
12,anyone around,9:52 PM,16-Oct-21,21
13,depression since 12 years old,8:25 PM,16-Oct-21,20
14,struggling with depression since 5 year,5:15 PM,16-Oct-21,17
15,doing better than i have in a long long time,9:21 AM,16-Oct-21,9
16,odd feeling better,9:13 AM,16-Oct-21,9
17,i truly hate my life more than anything else,1:15 AM,16-Oct-21,1
18,lexapro withdrawals only getting wors,10:11 PM,15-Oct-21,22
19,lexapro withdrawal symptoms and trying to have some quality of life,9:57 PM,15-Oct-21,21
20,social issues anyone else,7:02 PM,15-Oct-21,19
21,sick of everything going wrong and ready to jack it all in,6:23 AM,15-Oct-21,6
22,the past,4:49 AM,15-Oct-21,4
23,what helps you most when youre falling apart,8:19 PM,14-Oct-21,20
24,someone talk%EF%BC%9F,6:32 PM,14-Oct-21,18
25,i cried today,2:36 AM,14-Oct-21,2
26,lyrics that resonate,5:47 PM,13-Oct-21,17
27,anxiety and depression at 21 years old,3:28 PM,13-Oct-21,15
28,i think its easier to be sad,1:47 PM,13-Oct-21,13
29,new here feeling down lonely anyone around,6:50 AM,13-Oct-21,6
30,can%E2%80%99t find the words,3:24 AM,13-Oct-21,3
31,1 year later and im back,11:35 PM,12-Oct-21,23
32,carryng a bad feeling everyday just vent,10:07 PM,12-Oct-21,22
33,venlafaxine worries,7:59 PM,12-Oct-21,19
34,i know this may seem like nothing but,6:53 PM,12-Oct-21,18
35,at a loss,6:34 PM,12-Oct-21,18
36,does depression affect our judgment,5:25 PM,12-Oct-21,17
37,anyone have experience with modafinil for depression,8:38 AM,12-Oct-21,8
38,new treatment for depression,3:34 PM,11-Oct-21,15
39,horrible feeling in the morning,12:30 PM,11-Oct-21,12
40,letting the beast win,7:17 AM,11-Oct-21,7
41,sylvia plath on bbc four now 9pm 10 10 21 uk,9:40 PM,10-Oct-21,21
42,lost five years of my hobby stuff is there sense to start all over again,5:46 PM,10-Oct-21,17
43,stuck in this rut,5:26 PM,10-Oct-21,17
44,help wanted,2:38 PM,10-Oct-21,14
45,forgiveness,2:06 PM,10-Oct-21,14
46,lexapro dosage,10:07 AM,10-Oct-21,10
47,trigger warning sa physical abuse whats the point to live when everyone trying to kill me,4:40 AM,10-Oct-21,4
48,depressed about my current situation,2:33 AM,10-Oct-21,2
49,treading water,9:13 PM,9-Oct-21,21
50,i wish i could be normal most of the time i wish i could be someone else,8:20 PM,9-Oct-21,20
51,anxiety and depression which one do i hav,1:34 PM,1-Oct-21,13
52,todays achievements %F0%9F%99%82,5:35 AM,17-Oct-21,5
53,redemption,5:31 AM,17-Oct-21,5
54,i dont like who i see in the mirror,2:52 AM,17-Oct-21,2
55,when little to nothing brings you joy,2:37 AM,17-Oct-21,2
56,warning signs,2:35 AM,17-Oct-21,2
57,1 thing youre grateful for today,1:25 AM,17-Oct-21,1
58,don%E2%80%99t know how much longer i can go on,12:52 AM,17-Oct-21,0
59,do you feel guilt of your depression or not,12:32 AM,17-Oct-21,0
60,my fate to die,12:07 AM,17-Oct-21,0
61,i am not going to sleep this night l,11:45 PM,16-Oct-21,23
62,dealing with utter boredom,11:41 PM,16-Oct-21,23
63,anyone around,9:52 PM,16-Oct-21,21
64,depression since 12 years old,8:25 PM,16-Oct-21,20
65,struggling with depression since 5 year,5:15 PM,16-Oct-21,17
66,doing better than i have in a long long time,9:21 AM,16-Oct-21,9
67,odd feeling better,9:13 AM,16-Oct-21,9
68,i truly hate my life more than anything else,1:15 AM,16-Oct-21,1
69,lexapro withdrawals only getting wors,10:11 PM,15-Oct-21,22
70,lexapro withdrawal symptoms and trying to have some quality of life,9:57 PM,15-Oct-21,21
71,social issues anyone else,7:02 PM,15-Oct-21,19
72,sick of everything going wrong and ready to jack it all in,6:23 AM,15-Oct-21,6
73,the past,4:49 AM,15-Oct-21,4
74,what helps you most when youre falling apart,8:19 PM,14-Oct-21,20
75,someone talk%EF%BC%9F,6:32 PM,14-Oct-21,18
76,i cried today,2:36 AM,14-Oct-21,2
77,lyrics that resonate,5:47 PM,13-Oct-21,17
78,anxiety and depression at 21 years old,3:28 PM,13-Oct-21,15
79,i think its easier to be sad,1:47 PM,13-Oct-21,13
80,new here feeling down lonely anyone around,6:50 AM,13-Oct-21,6
81,can%E2%80%99t find the words,3:24 AM,13-Oct-21,3
82,1 year later and im back,11:35 PM,12-Oct-21,23
83,carryng a bad feeling everyday just vent,10:07 PM,12-Oct-21,22
84,venlafaxine worries,7:59 PM,12-Oct-21,19
85,i know this may seem like nothing but,6:53 PM,12-Oct-21,18
86,at a loss,6:34 PM,12-Oct-21,18
87,does depression affect our judgment,5:25 PM,12-Oct-21,17
88,anyone have experience with modafinil for depression,8:38 AM,12-Oct-21,8
89,new treatment for depression,3:34 PM,11-Oct-21,15
90,horrible feeling in the morning,12:30 PM,11-Oct-21,12
91,letting the beast win,7:17 AM,11-Oct-21,7
92,sylvia plath on bbc four now 9pm 10 10 21 uk,9:40 PM,10-Oct-21,21
93,lost five years of my hobby stuff is there sense to start all over again,5:46 PM,10-Oct-21,17
94,stuck in this rut,5:26 PM,10-Oct-21,17
95,help wanted,2:38 PM,10-Oct-21,14
96,forgiveness,2:06 PM,10-Oct-21,14
97,lexapro dosage,10:07 AM,10-Oct-21,10
98,trigger warning sa physical abuse whats the point to live when everyone trying to kill me,4:40 AM,10-Oct-21,4
99,depressed about my current situation,2:33 AM,10-Oct-21,2
100,treading water,9:13 PM,9-Oct-21,21
101,i wish i could be normal most of the time i wish i could be someone else,8:20 PM,9-Oct-21,20
102,do i need to basically live in holiday mode,12:21 PM,9-Oct-21,12
103,my grandmother suffered a stroke and got diagnosed with alzheimers,3:11 AM,9-Oct-21,3
104,hi anyone up for a chat,1:17 AM,9-Oct-21,1
105,anyone wants to chat,10:46 PM,8-Oct-21,22
106,dunno why im posting,5:29 PM,8-Oct-21,17
107,depression pain,2:04 PM,8-Oct-21,14
108,i cant keep going,1:09 PM,8-Oct-21,13
109,i can%E2%80%99t seem to be happy for longer than a few minutes,4:41 AM,8-Oct-21,4
110,suicidal because ugly male,10:01 PM,7-Oct-21,22
111,maybe i can%E2%80%99t post here later%F0%9F%98%9E,8:01 PM,7-Oct-21,20
112,really unwell trigger animals,7:44 PM,7-Oct-21,19
113,im tired,7:36 PM,7-Oct-21,19
114,whats going on with me lifes been so weird advice and input are appreciated,2:02 PM,7-Oct-21,14
115,listening to music all the time,1:46 PM,7-Oct-21,13
116,mask for today,12:48 PM,7-Oct-21,12
117,my honest view on high functioning depression,8:47 AM,7-Oct-21,8
118,just me,5:21 AM,7-Oct-21,5
119,too tired,4:55 AM,7-Oct-21,4
120,lack of motivation to care about anything,2:31 AM,7-Oct-21,2
121,whats the 1 thing you did today to improve your mental health,12:03 AM,7-Oct-21,0
122,mirtazapine in addition to venlafaxine any experiences,11:29 PM,6-Oct-21,23
123,hope,11:23 PM,6-Oct-21,23
124,feel stupid all the time,8:29 PM,6-Oct-21,20
125,how do you pull yourself ip,3:47 PM,6-Oct-21,15
126,nofap,2:31 PM,6-Oct-21,14
127,anyone heard of psycotic depression,2:17 PM,6-Oct-21,14
128,boredom destroys me,2:00 PM,6-Oct-21,14
129,i cant be a mother and its killing me,12:08 PM,6-Oct-21,12
130,where in the world are you from,11:56 AM,6-Oct-21,11
131,the problem with most people,11:55 AM,6-Oct-21,11
132,my life is worthless,2:50 AM,6-Oct-21,2
133,i feel jealous of old people,2:46 AM,6-Oct-21,2
134,can someone who was born with depression drink alcohol at all,2:20 AM,6-Oct-21,2
135,cant read because of depression,2:00 AM,6-Oct-21,2
136,i hate this miserable existence,1:18 AM,6-Oct-21,1
137,when to return to work,9:28 PM,5-Oct-21,21
